 Program starts execution at  2017-08-29 21:00:57 
Authentication starts  2017-08-29 21:00:57 
Authentication completed  2017-08-29 21:00:57 
Starting time for searching pages which have the given search string  Batman 2017-08-29 21:00:57 
Finishing time for searching pages which have the given search string  2017-08-29 21:01:03 
Starting time for going through each page  2017-08-29 21:01:03 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-29 21:11:02 	 1517057478527779 		 93 		 2017-08-29 21:11:44 
 2017-08-29 21:11:44 	 443434312426355 		 82 		 2017-08-29 21:12:13 
 2017-08-29 21:12:13 	 542925759158633 		 82 		 2017-08-29 21:12:17 
 2017-08-29 21:12:17 	 109643299062655 		 0 		 2017-08-29 21:12:18 
 2017-08-29 21:12:18 	 1897979060428524 		 0 		 2017-08-29 21:12:45 
 2017-08-29 21:12:45 	 161040420628818 		 0 		 2017-08-29 21:12:46 
 2017-08-29 21:12:46 	 504311712959237 		 0 		 2017-08-29 21:12:47 
 2017-08-29 21:12:47 	 119250661440091 		 0 		 2017-08-29 21:12:49 
 2017-08-29 21:12:49 	 1851019631807002 		 9 		 2017-08-29 21:13:03 
 2017-08-29 21:13:03 	 208953049271631 		 88 		 2017-08-29 21:13:28 
 2017-08-29 21:13:28 	 262486770577184 		 164 		 2017-08-29 21:13:58 
 2017-08-29 21:13:58 	 618505078243884 		 164 		 2017-08-29 21:14:20 
 2017-08-29 21:14:20 	 50072799746 		 28 		 2017-08-29 21:14:39 
 2017-08-29 21:14:39 	 1578793275755538 		 28 		 2017-08-29 21:14:40 
 2017-08-29 21:14:40 	 1636600139979128 		 28 		 2017-08-29 21:14:43 
 2017-08-29 21:14:43 	 1513733775547091 		 28 		 2017-08-29 21:14:52 
 2017-08-29 21:14:52 	 1892982334278091 		 28 		 2017-08-29 21:14:54 
 2017-08-29 21:14:54 	 217987565306431 		 28 		 2017-08-29 21:14:56 
 2017-08-29 21:14:56 	 733973583329859 		 2 		 2017-08-29 21:14:59 
 2017-08-29 21:14:59 	 205969509586928 		 2 		 2017-08-29 21:15:02 
 2017-08-29 21:15:02 	 255127351330224 		 0 		 2017-08-29 21:15:02 
 2017-08-29 21:15:02 	 218229128361780 		 30 		 2017-08-29 21:15:22 
 2017-08-29 21:15:22 	 1053083074726899 		 30 		 2017-08-29 21:15:24 
 2017-08-29 21:15:24 	 731400223579205 		 30 		 2017-08-29 21:15:26 
 2017-08-29 21:15:26 	 113601521983417 		 0 		 2017-08-29 21:15:27 
 2017-08-29 21:15:27 	 115212435194545_932182920164155 		 3 		 2017-08-29 21:15:28 
 2017-08-29 21:15:28 	 115212435194545_902114493170998 		 0 		 2017-08-29 21:15:28 
 2017-08-29 21:15:28 	 115212435194545_900934593288988 		 3 		 2017-08-29 21:15:29 
 2017-08-29 21:15:29 	 115212435194545_891411374241310 		 1 		 2017-08-29 21:15:29 
 2017-08-29 21:15:29 	 115212435194545_891410637574717 		 1 		 2017-08-29 21:15:30 
 2017-08-29 21:15:30 	 115212435194545_867630919952689 		 13 		 2017-08-29 21:15:30 
 2017-08-29 21:15:30 	 115212435194545_798219783560470 		 0 		 2017-08-29 21:15:31 
 2017-08-29 21:15:31 	 115212435194545_763281957054253 		 1 		 2017-08-29 21:15:31 
 2017-08-29 21:15:31 	 115212435194545_763171067065342 		 0 		 2017-08-29 21:15:32 
 2017-08-29 21:15:32 	 115212435194545_756073771108405 		 1 		 2017-08-29 21:15:32 
 2017-08-29 21:15:32 	 115212435194545_751271728255276 		 0 		 2017-08-29 21:15:33 
