 Program starts execution at  2017-08-27 20:23:30 
Authentication starts  2017-08-27 20:23:30 
Authentication completed  2017-08-27 20:23:30 
Starting time for searching pages which have the given search string  Johnson's Baby 2017-08-27 20:23:30 
Finishing time for searching pages which have the given search string  2017-08-27 20:23:34 
Starting time for going through each page  2017-08-27 20:23:34 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-27 20:25:54 	 329355234098368 		 0 		 2017-08-27 20:25:55 
 2017-08-27 20:25:55 	 1801292466865255 		 0 		 2017-08-27 20:25:56 
 2017-08-27 20:25:56 	 102874371461 		 0 		 2017-08-27 20:25:56 
 2017-08-27 20:25:56 	 1427850404145974 		 0 		 2017-08-27 20:25:57 
 2017-08-27 20:25:57 	 283021908185 		 0 		 2017-08-27 20:25:57 
 2017-08-27 20:25:57 	 159116490770036 		 0 		 2017-08-27 20:25:58 
 2017-08-27 20:25:58 	 1019896328106034 		 0 		 2017-08-27 20:25:58 
 2017-08-27 20:25:58 	 1925792810983746 		 0 		 2017-08-27 20:25:59 
 2017-08-27 20:25:59 	 1081826171874121 		 0 		 2017-08-27 20:25:59 
 2017-08-27 20:25:59 	 775053019200536 		 0 		 2017-08-27 20:26:01 
 2017-08-27 20:26:01 	 167887589939140 		 1 		 2017-08-27 20:26:04 
 2017-08-27 20:26:04 	 240029373035651 		 0 		 2017-08-27 20:26:05 
 2017-08-27 20:26:05 	 239078273222519 		 0 		 2017-08-27 20:26:05 
 2017-08-27 20:26:05 	 113566158749785 		 0 		 2017-08-27 20:26:07 
 2017-08-27 20:26:07 	 221009481251454 		 0 		 2017-08-27 20:26:10 
 2017-08-27 20:26:10 	 103121026394208 		 0 		 2017-08-27 20:26:10 
 2017-08-27 20:26:10 	 1014347165355174 		 0 		 2017-08-27 20:26:11 
 2017-08-27 20:26:11 	 708543255837323 		 0 		 2017-08-27 20:26:11 
 2017-08-27 20:26:11 	 639845272832965 		 1 		 2017-08-27 20:26:12 
 2017-08-27 20:26:12 	 132627873427792 		 0 		 2017-08-27 20:26:13 
 2017-08-27 20:26:13 	 229007397238 		 0 		 2017-08-27 20:26:13 
 2017-08-27 20:26:13 	 761818710524835 		 0 		 2017-08-27 20:26:14 
 2017-08-27 20:26:14 	 1402986283095854 		 0 		 2017-08-27 20:26:14 
 2017-08-27 20:26:14 	 504970782900086 		 0 		 2017-08-27 20:26:15 
 2017-08-27 20:26:15 	 170007373010959 		 0 		 2017-08-27 20:26:18 
 2017-08-27 20:26:18 	 327480942155 		 0 		 2017-08-27 20:26:19 
 2017-08-27 20:26:19 	 156333641054407 		 0 		 2017-08-27 20:26:19 
 2017-08-27 20:26:19 	 403079249796160 		 9 		 2017-08-27 20:26:23 
 2017-08-27 20:26:23 	 162619510590148 		 0 		 2017-08-27 20:26:28 
 2017-08-27 20:26:28 	 1096981573762076 		 2 		 2017-08-27 20:26:28 
 2017-08-27 20:26:28 	 1760103964213343 		 0 		 2017-08-27 20:26:29 
 2017-08-27 20:26:29 	 307604432621789 		 0 		 2017-08-27 20:26:29 
 2017-08-27 20:26:29 	 1624329397828799 		 1 		 2017-08-27 20:26:31 
 2017-08-27 20:26:31 	 1490856217798687 		 0 		 2017-08-27 20:26:36 
 2017-08-27 20:26:36 	 309305659102604 		 2 		 2017-08-27 20:26:37 
 2017-08-27 20:26:37 	 1667259613532375 		 0 		 2017-08-27 20:26:38 
 2017-08-27 20:26:38 	 537583303073534 		 0 		 2017-08-27 20:26:38 
 2017-08-27 20:26:38 	 284136358358859 		 0 		 2017-08-27 20:26:38 
 2017-08-27 20:26:38 	 107461142611879 		 0 		 2017-08-27 20:26:39 
 2017-08-27 20:26:39 	 323929537666756 		 3 		 2017-08-27 20:26:40 
 2017-08-27 20:26:40 	 1166944800008727 		 0 		 2017-08-27 20:26:40 
 2017-08-27 20:26:40 	 191434584677923 		 0 		 2017-08-27 20:26:41 
 2017-08-27 20:26:41 	 516780678416569 		 0 		 2017-08-27 20:26:41 
 2017-08-27 20:26:41 	 122750537773625 		 0 		 2017-08-27 20:26:41 
 2017-08-27 20:26:41 	 282680858119 		 1 		 2017-08-27 20:26:42 
 2017-08-27 20:26:42 	 208797139142652 		 0 		 2017-08-27 20:26:43 
 2017-08-27 20:26:43 	 599511190232451 		 0 		 2017-08-27 20:26:43 
 2017-08-27 20:26:43 	 534768589885352 		 0 		 2017-08-27 20:26:45 
 2017-08-27 20:26:45 	 107829516442158 		 0 		 2017-08-27 20:26:45 
 2017-08-27 20:26:45 	 1822621214684780 		 1 		 2017-08-27 20:26:46 
 2017-08-27 20:26:46 	 189178711550063 		 0 		 2017-08-27 20:26:47 
 2017-08-27 20:26:47 	 325335224203768 		 0 		 2017-08-27 20:26:48 
 2017-08-27 20:26:48 	 352180398143152 		 0 		 2017-08-27 20:26:49 
 2017-08-27 20:26:49 	 532442313619854 		 0 		 2017-08-27 20:26:49 
 2017-08-27 20:26:49 	 1591798094388810 		 0 		 2017-08-27 20:26:50 
 2017-08-27 20:26:50 	 1120281508061376 		 0 		 2017-08-27 20:26:50 
 2017-08-27 20:26:50 	 522442937950518 		 0 		 2017-08-27 20:26:51 
 2017-08-27 20:26:51 	 414509412268894 		 0 		 2017-08-27 20:26:52 
 2017-08-27 20:26:52 	 1893429024241640 		 0 		 2017-08-27 20:26:53 
 2017-08-27 20:26:53 	 400162810044553 		 0 		 2017-08-27 20:26:54 
 2017-08-27 20:26:54 	 1573528326230648_1573529899563824 		 67 		 2017-08-27 20:26:56 
 2017-08-27 20:26:56 	 1573528326230648_1573529309563883 		 28 		 2017-08-27 20:26:57 
 2017-08-27 20:26:57 	 1573528326230648_1573529069563907 		 28 		 2017-08-27 20:26:58 

 Total time taken is  3.48767213424047 Program starts execution at  2017-08-28 11:16:26 
Authentication starts  2017-08-28 11:16:26 
Authentication completed  2017-08-28 11:16:26 
Starting time for searching pages which have the given search string  Johnson's Baby 2017-08-28 11:16:26 
Finishing time for searching pages which have the given search string  2017-08-28 11:16:30 
Starting time for going through each page  2017-08-28 11:16:30 
