 Program starts execution at  2017-08-28 20:39:55 
Authentication starts  2017-08-28 20:39:55 
Authentication completed  2017-08-28 20:39:55 
Starting time for searching pages which have the given search string  Johnson's Baby 2017-08-28 20:39:55 
Finishing time for searching pages which have the given search string  2017-08-28 20:40:00 
Starting time for going through each page  2017-08-28 20:40:00 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-28 20:43:13 	 307604432621789 		 0 		 2017-08-28 20:43:13 
 2017-08-28 20:43:13 	 1624329397828799 		 1 		 2017-08-28 20:43:14 
 2017-08-28 20:43:14 	 1490856217798687 		 0 		 2017-08-28 20:43:20 
 2017-08-28 20:43:20 	 309305659102604 		 2 		 2017-08-28 20:43:21 
 2017-08-28 20:43:21 	 1667259613532375 		 0 		 2017-08-28 20:43:21 
 2017-08-28 20:43:21 	 537583303073534 		 0 		 2017-08-28 20:43:22 
 2017-08-28 20:43:22 	 284136358358859 		 0 		 2017-08-28 20:43:22 
 2017-08-28 20:43:22 	 107461142611879 		 0 		 2017-08-28 20:43:23 
 2017-08-28 20:43:23 	 323929537666756 		 3 		 2017-08-28 20:43:24 
 2017-08-28 20:43:24 	 1166944800008727 		 0 		 2017-08-28 20:43:24 
 2017-08-28 20:43:24 	 191434584677923 		 0 		 2017-08-28 20:43:25 
 2017-08-28 20:43:25 	 516780678416569 		 0 		 2017-08-28 20:43:26 
 2017-08-28 20:43:26 	 122750537773625 		 0 		 2017-08-28 20:43:26 
 2017-08-28 20:43:26 	 282680858119 		 1 		 2017-08-28 20:43:27 
 2017-08-28 20:43:27 	 208797139142652 		 0 		 2017-08-28 20:43:28 
 2017-08-28 20:43:28 	 599511190232451 		 0 		 2017-08-28 20:43:28 
 2017-08-28 20:43:28 	 534768589885352 		 0 		 2017-08-28 20:43:31 
 2017-08-28 20:43:31 	 107829516442158 		 0 		 2017-08-28 20:43:31 
 2017-08-28 20:43:31 	 1822621214684780 		 1 		 2017-08-28 20:43:33 
 2017-08-28 20:43:33 	 189178711550063 		 0 		 2017-08-28 20:43:33 
 2017-08-28 20:43:33 	 325335224203768 		 0 		 2017-08-28 20:43:35 
 2017-08-28 20:43:35 	 352180398143152 		 0 		 2017-08-28 20:43:35 
 2017-08-28 20:43:35 	 532442313619854 		 0 		 2017-08-28 20:43:36 
